"conference_acronym","conference_name","conference_location"
"UAE
207,AI 2018,4th International Conference on Artificial Intelligence and Applications,Dubai","UAE
208,ACM-ICSENT 2018,ACM - 7th International Conference on Software Engineering and New Technologies,Tunisia
209,ICSC 2019,IEEE International conference on semantic computing,Newport Beach"," California
210,AISTATS 2019,The 22nd International Conference on  Artificial Intelligence and Statistics,Naha"," Okinawa"
" Japan
211,ICAART 2019,11th International Conference on Agents and Artificial Intelligence,Prague"," Czech Republic
212,ICPRAM 2019,8th International Conference on Pattern Recognition Applications and Methods,Prague"," Czech Republic
213,AT 2018,6th International Conference on Agreement Technologies ,Bergen"," Norway
214,ACIIDS 2018,10th Asian Conference on Intelligent Information and Database Systems,Dong Hoi City"
" Vietnam
215,MLOSS 2018,Machine Learning Open Source Software 2018: Sustainable communities,Palais des Congrès de Montréal"," Canada
216,ICACS 2019,International Conference on Advancements in Computational Sciences,Lahore
217,ICRAE--IEEE"," Ei and Scopus 2018,IEEE--2018 3rd International Conference on Robotics and Automation Engineering (ICRAE 2018)--Ei Compendex and Scopus,Guangzhou"," China
218,AI 2018,4th International Conference on Artificial Intelligence and Applications,Dubai"
"UAE
219,ICRAI--ACM"," Ei and Scopus 2018,ACM--2018 4th International Conference on Robotics and Artificial Intelligence (ICRAI 2018)--Ei Compendex"," Scopus,Guangzhou"," China
220,Call for Chapter (IGI Global) 2018,Advanced Data Modeling and Processing With JSON,USA
221,ITSMTGPD 2018,Special Issue of IEEE Technology and Society Magazine"
"“Technology for Governance"," Politics and Democracy”.  ,N/A
222,CIIS--ACM"," Scopus & Ei 2018,ACM--2018 International Conference on Computational Intelligence and Intelligent Systems (CIIS 2018)--Scopus & Ei Compendex,Phuket"," Thailand
223,SysML 2019,SysML Conference,Stanford"
" CA
224,SPML--ACM"," EI"," Scopus 2018,ACM--2018 International Conference on Signal Processing and Machine Learning (SPML 2018)--EI Compendex"," Scopus,Shanghai"
" China
225,KRR@SAC 2019,KRR@SAC 2019 : Knowledge Representation and Reasoning (track of the 34th ACM/SIGAPP Symposium On Applied Computing),Limassol (Cyprus)
226,BDML--Ei and Scopus 2018,2018 International Conference on Big Data and Machine Learning (BDML 2018)--Ei Compendex and Scopus,Nagoya"," Japan
227,IEEE SITIS - MIRA 2018,IEEE SITIS2018 - Workshop on Multimedia Information Retrieval and Applications,Las Palmas de Gran Canaria"," Spain
228,FG 2019,The 14th IEEE International Conference on Automatic Face and Gesture Recognition,Lille"," France
229,TAAI 2018,The 2018 Conference on Technologies and Applications of Artificial Intelligence,Taichung"
" Taiwan
230,ICRoM--IOP"," Ei and Scopus 2018,IOP--2018 the 2nd International Conference on Robotics and Mechantronics (ICRoM 2018)--Ei Compendex and Scopus,Singapore
231,LXAI@NIPS 2018,Latinx in AI @ NIPS 2018,Montreal Convention Center
232,AIVR--ACM"," Ei Compendex and Scopus 2018,ACM--2018 International Conference on Artificial Intelligence and Virtual Reality (AIVR 2018)--Ei Compendex and Scopus,Nagoya"," Japan
233,ICCTA 2018,28th International Conference on Computer Theory and Applications (ICCTA 2018),Alexandria - Egypt
234,IEEE GCIoT 2018,2018 IEEE Global Conference On The Internet of Things ,Alexandria"
" Egypt
235,SoICT  2018,The Ninth International Symposium on Information and Communication Technology ,Danang"," Vietnam
236,IEEE--ISCMI--EI Compendex and Scopus 2018,2018 IEEE 5th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2018)--EI Compendex and Scopus,Nairobi"," Kenya
237,CIBI 2018,International Workshop on Computational Intelligence for Brain Imaging (CIBI),Arlington"," Texas"
" USA 
238,ICITISEE 2018,ICITISEE 2018: The 3rd International Conference on Information Technology"," Information Systems and Electrical Engineering,Grand Inna Malioboro Hotel"," Yogyakarta
239,IEEE FRUCT 2018,23nd Conference of Open Innovations Association FRUCT,Bologna"," Italy
240,R3T3 2018,Rethinking"
" Reworking and Revolutionising The Turing Test conference,University of Edinburgh
241,IIT 2018,13th International Conference on Innovations in Information Technology,Al Ain"," United Arab Emirates
242,ICBDR--Ei & Scopus 2018,2018 The 2nd International Conference on Big Data Research (ICBDR 2018)--Ei Compendex & Scopus,Weihai"," China
243,IFIP/IEEE IM 2019,IFIP/IEEE International Symposium on Integrated Network Management  (IM 2019),Washington DC"," USA
244,DEC-NYC 2018,DataEngConf NYC '18,Columbia University
245,MIKE 2018,MIKE 2018: 6th International Conference on Mining Intelligence and Knowledge Exploration,Cluj - Napoca"
" Romania
246,SPIE--ICMV--Scopus"," Ei Compendex 2018,SPIE--2018 The 11th International Conference on Machine Vision (ICMV 2018)--Scopus"," Ei Compendex,Munich"," Germany
247,AAAI 2019,National Conference on Artificial Intelligence,Honolulu"
" Hawaii
248,ICEDA--EI Compendex"," Scopus 2018,2018 3rd International Conference on Engineering Design and Analysis (ICEDA 2018)--EI Compendex"," Scopus,Nha Trang"," Vietnam
249,WILE 2018,11th Workshop on Intelligent Learning Environments,Guadalajara"
" México
250,ACDT 2018,The 5th Asian Conference on Defense Technology - ACDT 2018,Hanoi
251,AIAP  2018,Artificial Intelligence and Its Applications,EL-Oued"," Algeria
252,KICSS 2018,13th International Conference on Knowledge"," Information and Creativity Support Systems,Pattaya"," Thailand
253,iSAI-NLP 2018,13th International Joint Symposium on Artificial Intelligence and Natural Language Processing,Pattaya"
" Thailand
254,CAIHE 2018,International Workshop on Collaboration with Artificial Intelligence in Health-Care Environments,Shanghai"," People’s Republic of China
255,CRoNe 2018,4th Congress con Robotics and Neuroscience,Valparaíso"," Chile
256,CIMA 2018,8th International Workshop on Combinations of Intelligent Methods and Applications,Volos"," Greece
257,RTIS 2018,Third International Conference on Real-Time Intelligent Systems,Taipei
258,ICITCS 2018,8th International Conference on IT Convergence and Security,Bangkok Thailand
259,DIT 2018,Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18),Singapore
260,Call for Chapter Proposals 2018,Neutrosophic Sets - Theory and Applications,Science Gate Publishing
261,ICAAI--ACM"
" Ei Compendex"," Scopus 2018,ACM--2018 The 2nd International Conference on Advances in Artificial Intelligence (ICAAI 2018)--Ei Compendex"," Scopus,Barcelona"," Spain
262,Book Chapter"
" IGI Global 2018,Call for Chapters: Post-Narratology Through Computational and Cognitive Approaches,USA
263,ACM--ICCBB--Ei and Scopus 2018,ACM--2018 2nd International Conference on Computational Biology and Bioinformatics (ICCBB 2018)--Ei Compendex and Scopus,Bari"," Italy
264,FAT* 2019,2019 Conference on Fairness"," Accountability"," and Transparency,Atlanta"
" USA
265,ICACR--EI and SCOPUS 2018,2018 2nd International Conference on Automation"," Control and Robots (ICACR 2018)--EI Compendex"," and SCOPUS,Bangkok"," Thailand
266,ACML-MoL 2018,ACML 2018 Workshop on Multi-output Learning,Beijing"
" China
267,AI^3 2018,AI^3 2018: 2nd Workshop on Advances In Argumentation In Artificial Intelligence (DEADLINE Extended to 18th August 2018),Trento"," Italy
268,IEEE AIVR 2018,IEEE International conference on Artificial Intelligence and Virtual Reality,Taichung"," Taiwan
269,RiTA 2018,The 6th International Conference on Robot Intelligence Technology and Applications,Kuala Lumpur"," Malaysia
270,ICTC 2018,The 9th International Conference on Information and Communication Technology Convergence ,Jeju Island"
" Korea
271,ICCMA--ACM"," Ei"," Scopus 2018,ACM--2018 The 6th International Conference on Control"," Mechatronics and Automation (ICCMA 2018)--Ei Compendex"
" Scopus,Tokyo"," Japan
272,TIST Special Issue  2018,ACM TIST Special Issue on Advances in Causal Discovery and Inference,N/A
273,LKE 2018,Language and Knowledge Engineering- 6th Symposium. 29-31 Oct 2018. Puebla"," Mexico,Puebla"," Mexico
274, LPAR 2018,International Conference on Logic for Programming"
" Artificial Intelligence and Reasoning,Awassa"," Ethiopia
275,SiPML 2018,2018 Workshop on Signal Processing and Machine Learning (SiPML),Tunghai University"," Taichung"," Taiwan 
276,IWDS 2018,6th IEEE International Workshop on Data Science,Berlin
277,RAICoM 2018,International Conference on Recent Advances in Intelligent and Connected Mobility,Coimbra"
" Potugal
278,SCDocShowcase 2018,Doctoral Showcase at Supercomputing,Dallas"," TX
279,NL4AI 2018,2nd Workshop on Natural Language for Artificial Intelligence,Trento"," Italy
280,DELL@ICDM 2018,[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018),Singapore
281,SAREC 2018,1st Workshop on Scalable and Applicable Recommendation Systems,Singapore
282,AISB 2018,Artificial Intelligence for Synthetic Biology,Arlington"," VA
283,ICACTE 2018,2018 The 11th International Conference on Advanced Computer Theory and Engineering (ICACTE 2018),Hanoi"
" Vietnam
284,MLMI--Ei Compendex"," Scopus 2018,ACM--2018 International Conference on Machine Learning and Machine Intelligence (MLMI 2018)--Ei Compendex"," Scopus,Hanoi"," Vietnam
285,AI3D 2018,International Workshop on Artificial Intelligence for 3D Bigdata Processing (Co-located with IEEE AIKE 2018),Laguna Hills"
" California"," USA
286,WOMoCoE 2018,3rd International Workshop on Ontology Modularity"," Contextuality"," and Evolution,Tempe"
" Arizona
287,CORE 2018,CORE Congress 2018 - CIC IPN MX,Mexico City
288,PRIMA 2018,The 21st International Conference on Principles and Practice of Multi-Agent Systems,Tokyo"," Japan
289,ICVGIP 2018,Indian Conference on Computer Vision"," Graphics and Image Processing,Hyderabad"," India
290,ACML 2018,The 10th Asian Conference on Machine Learning,Beijing"
" China
291,IWAISe 2018,2nd International Workshop on A.I. in Security,Dublin
292,AACR - AI in Cancer 2018,AACR - Artificial Intelligence"," Big Data and Prediction in Cancer,Rhode Island
293,Intelligent Virtual Agents (SI) 2018,Special Issue on Intelligent Virtual Agents,Multimodal Tehcnologies and Interaction
294,ICITT--EI Compendex"," Scopus 2018,2018 2nd International Conference on Intelligent Traffic and Transportation (ICITT 2018)--EI Compendex"," Scopus,Stockholm"
" Sweden
295,SKG 2018,The 14th International Conference on Semantics"," Knowledge and Grids on Big Data"," AI and Future Interconnection Environment,Guangzhou"," China
296,ICIIT 2018,International Conference on Intelligent Information Technologies ,CHENNAI"
" INDIA
297,AISO  2018,4th International Conference on Artificial Intelligence and Soft Computing,Dubai","UAE
298,E&C 2018,3rd International Conference on Electrical & Computer Engineering ,Dubai","UAE
299,AISO  2018,4th International Conference on Artificial Intelligence and Soft Computing,Dubai","UAE
300,CSEN  2018,5th International Conference on Computer Science and Engineering ,Dubai"
"UAE
301,CSEN  2018,5th International Conference on Computer Science and Engineering,Dubai","UAE
302,HM 2019,11th International Workshop on Hybrid Metaheuristics,Concepción"," Chile
303,scis-isis2018dmoo 2018,Special Session Advances on Dynamic Multi-objective Optimization and its Applications,Japan
304,SCIS-ISIS 2018,Joint 10th International Conference on Soft Computing and Intelligent Systems and 19th International Symposium on Advanced Intelligent Systems,Toyama"," Japan
305,AIKE 2018,The First IEEE International Conference on Artificial Intelligence and Knowledge Engineering (deadline extended),Laguna Hills"
" CA
306,CyberC 2018,The 10th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,China
307,ICCR--EI and Scopus 2018,2018 International Conference on Control and Robot (ICCR 2018)--EI Compendex and Scopus,Hong Kong
308,AI World Cup 2018,Challenge AI World Cup 2018 !,KAIST Daejeon"," Korea
309,ICIVP--EI"," Scopus 2018,2018 International Conference on Image and Video Processing (ICIVP 2018)--EI Compendex"," Scopus,Macau"
" China
310,ACM--NLPIR--Ei Compendex and Scopus 2018,ACM--2018 2nd International Conference on Natural Language Processing and Information Retrieval (NLPIR 2018)--Ei Compendex and Scopus,Bangkok"," Thailand
311,IVI 2018,Special Session on Intelligent Visual IoT: Tools and applications,Hanoi"," Vietnam
312,DARE 2018,ECMLPKDD 2018"," 6th International Workshop on Data Analytics for Renewable Energy Integration,Dublin"
" Ireland
313,ACM--WSSE--ACM"," Ei Compendex"," Scopus 2018,ACM--The World Symposium on Software Engineering (WSSE 2018)--Ei Compendex"," Scopus,Wuhan"
" Hubei"," China
314,KMH 2018,ACM 1st International Workshop on Knowledge Management for Healthcare,Lingotto"," Turin"," Italy
315,CMECE--EI"
" Scopus 2018,2018 5th International Conference on Mechanical"," Electronics and Computer Engineering (CMECE 2018)--EI Compendex"," Scopus,Singapore
316, AI & IoT 2018,Pharma AI & IoT 2018,Canary Riverside Plaza Hotel"," London UK
317,Scopus-AIAAT 2018,2018 2nd International Conference on Artificial Intelligence Applications and Technologies (AIAAT 2018) ,Shanghai"
" China
318,HPML 2018,High Performance Machine Learning,Lyon - France
319,IoT & AI Summit 2018,5th IoT & AI Summit 2018,Sterlings Mac (Matthan Hotel) Bangalore","
320,DSS 2018,4th International Workshop on Data-Driven Self-Regulating Systems,Trento"," Italy
321,NEMESIS 2018,1st Workshop on Recent Advances in Adversarial Machine Learning - ECML/PKDD,Dublin"," Ireland
322,KDD-DeepLearningDay 2018,ACM SIGKDD 2018 Deep Learning Day Call for Papers,London"
" UK
323,MIWAI 2018,The 12th Multi-Disciplinary International Conference on Artificial Intelligence,Hanoi"," Vietnam
324,IEEE--ICAVE--Ei and Scopus 2018,2018 2nd International Conference on Automotive and Vehicle Engineering (ICAVE 2018)--IEEE"," Ei Compendex and Scopus,Singapore
325,IEEE--ICITE--Ei and Scopus 2018,IEEE--2018 3rd International Conference on Intelligent Transportation Engineering (ICITE 2018)--Ei Compendex and Scopus,Singapore
326,CICET 2018,The International Conference on Recent Advancements in Computing"," IoT and Computer Engineering Technology 2018,The Tamkang University Taipei"
" Taiwan
327,MIPPSNA 2018,Multimedia Information Processing for Personality & Social Network Analysis  Workshop @ ICPR 2018,Beijing"," China
328,AI-learning 2018,The First International Workshop on AI & Deep Learning,China
329,ICIIP--Ei and Scopus 2018,2018 the 7th International Conference on Intelligent Information Processing (ICIIP 2018)--Ei Compendex and Scopus,Barcelona"," Spain
330,SAI 2018,7th International Conference on Soft Computing"," Artificial Intelligence and Applications - UGC Listed Proceedings,Chennai"
"India
331,SI-AIMHD 2018,Special Issue on Artificial Intelligence for Mobile Health Data Analysis and Processing,N/A
332,CEEC 2018,10th Computer Science and Electronic Engineering Conference,Colchester"," UK
333,Kaleidoscope 2018,ITU Kaleidoscope 2018 - Machine learning for a 5G future,Santa Fe"," Argentina
334,IEEE--IRCE--EI"," Scopus 2018,IEEE--2018 International Conference on Intelligent Robotic and Control Engineering (IRCE 2018)--EI Compendex"
" Scopus,Lanzhou"," China
335,ICRCA--ACM"," Ei Compendex and Scopus 2018,2018 The 3rd International Conference on Robotics"," Control and Automation (ICRCA 2018)--ACM"
" Ei Compendex and Scopus,Chengdu"," China
336,ICRMV--SPIE"," Scopus"," Ei and CPCI 2018,SPIE--2018 3rd International Conference on Robotics and Machine Vision (ICRMV 2018)--Scopus"
" Ei Compendex and CPCI,Chengdu"," China
337,SYNASC  2018,20th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,Timisoara"," Romania
338,DKBKIK 2018,The 7th Workshop on Dynamics of Knowledge and Belief (DKB-2018) and the 6th Workshop KI & Kognition (KIK-2018):  Formal and Cognitive Reasoning,Berlin
339,iWOAR 2018,5th International Workshop on Sensor-based Activity Recognition and Interaction,Berlin"," Germany
340,ISCBI--Ei Compendex and Scopus 2018,2018 6th International Symposium on Computational and Business Intelligence (ISCBI 2018)--Ei Compendex and Scopus,Basel"
" Switzerland
341,AIPR--Ei Compendex and Scopus 2018,2018 International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2018)--Ei Compendex and Scopus,Beijing"," China
342,ISPR  2018,4th International Conference on Image and Signal Processing,Dubai","UAE
343,ICISIP 2018,The 6th IIAE International Conference on Intelligent Systems and Image Processing 2018,Matsue"," Japan
344,ACM-ICCES 2018,ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences,Kuala Lumpur
345,BI 2018,The 11th International Conference on Brain Informatics,Arlington"
" TX
346,ACM-ICCES 2018,ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences,Kuala Lumpur
347,IWAIPR 2018,6th Internacional Workshop on Artificial Intelligence and Pattern Recognition,La Havana"," Cuba
348,ACM-ICCES 2018,ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences,Kuala Lumpur
349,ACM--PRAI--Ei and Scopus 2018,ACM--2018 the International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2018)--Ei Compendex and Scopus,Union"," NJ"," USA
350,ACM--ICACS--Ei and Scopus 2018,ACM--2018 2nd International Conference on Algorithms"
" Computing and Systems (ICACS 2018)--Ei Compendex and Scopus,Beijing"," China
351,AINL 2018,Artificial Intelligence and Natural Language,Saint Petersburg"," Russia
352,WI 2018,2018 IEEE/WIC/ACM International Conference on Web Intelligence,Santiago"," Chile
353,HumL@ISWC 2018,Workshop: HumL@ISWC2018 - Augmenting Intelligence with Humans­-in-­the-­Loop,Monterey"
